run_id,robot_id,t_laptop,source_stamp,x,y,theta
run_001,duck2,83610.968745327,83610.940137356,1.770040894,2.426171875,-0.271476916
run_001,duck2,83611.002114119,83610.97317314,1.770058960,2.426155762,-0.271363833
run_001,duck2,83611.035456988,83611.007260038,1.770076172,2.426128662,-0.271388031
run_001,duck2,83611.068893543,83611.039890935,1.770024780,2.426200195,-0.271957144
run_001,duck2,83611.102296660,83611.074349931,1.770051880,2.426164307,-0.271319868
run_001,duck2,83611.135718120,83611.106474777,1.770028076,2.426181641,-0.271588700
run_001,duck2,83611.169143082,83611.148725554,1.770056763,2.426151367,-0.271377768
run_001,duck2,83611.202547093,83611.181420786,1.770069946,2.426129395,-0.271236834
run_001,duck2,83611.235979402,83611.214912976,1.770082275,2.426113281,-0.271157119
run_001,duck2,83611.269436051,83611.248350695,1.770088501,2.426127441,-0.271388943
run_001,duck2,83611.302857095,83611.282412761,1.770076050,2.426120117,-0.271412988
run_001,duck2,83611.336298636,83611.31503898,1.770036255,2.426126953,-0.271544655
run_001,duck2,83611.369715837,83611.348542747,1.770054199,2.426119141,-0.271194040
run_001,duck2,83611.403249757,83611.381545032,1.770081299,2.426132080,-0.271198411
run_001,duck2,83611.436686932,83611.414982838,1.770076416,2.426117920,-0.271067293
run_001,duck2,83611.470138524,83611.448303172,1.770031128,2.426168701,-0.271799236
run_001,duck2,83611.503578410,83611.490146686,1.770071777,2.426129883,-0.271420341
run_001,duck2,83611.536954293,83611.523325948,1.770012817,2.426174316,-0.271606661
run_001,duck2,83611.570378340,83611.557062758,1.770034668,2.426149658,-0.271518779
run_001,duck2,83611.603791536,83611.591108654,1.770072754,2.426118408,-0.271437615
run_001,duck2,83611.637223497,83611.623829829,1.770024780,2.426181641,-0.271674651
run_001,duck2,83611.670648442,83611.658034357,1.770035522,2.426126465,-0.271428105
run_001,duck2,83611.704140579,83611.692476333,1.770012573,2.426185791,-0.271666557
run_001,duck2,83611.737526661,83611.723984785,1.770054077,2.426155762,-0.271359206
run_001,duck2,83611.770963335,83611.760617792,1.770055420,2.426118896,-0.271233737
run_001,duck2,83611.804358140,83611.790946496,1.770023315,2.426157227,-0.271570873
run_001,duck2,83611.837823630,83611.823832889,1.770041992,2.426142334,-0.271295663
run_001,duck2,83611.871222399,83611.857411946,1.770062256,2.426114502,-0.271120724
run_001,duck2,83611.904653318,83611.891781658,1.770071411,2.426113525,-0.271098764
run_001,duck2,83611.938107676,83611.932969204,1.770028198,2.426157227,-0.271582447
run_001,duck2,83611.971500100,83611.96498721,1.770059570,2.426128418,-0.271253406
run_001,duck2,83612.004912814,83611.997971939,1.770062988,2.426112061,-0.271318853
run_001,duck2,83612.038326280,83612.031262908,1.770047119,2.426129883,-0.271273211
run_001,duck2,83612.071800315,83612.064640043,1.770055176,2.426119141,-0.271230288
run_001,duck2,83612.105154919,83612.098423575,1.770069702,2.426096191,-0.271094064
run_001,duck2,83612.138588093,83612.131474355,1.770074463,2.426101074,-0.271260332
run_001,duck2,83612.205412237,83612.164710598,1.770093140,2.426100342,-0.271233803
run_001,duck2,83612.238818620,83612.198732834,1.770072266,2.426111572,-0.270980357
run_001,duck2,83612.272298562,83612.231421599,1.770098877,2.426069580,-0.270859983
run_001,duck2,83612.305732260,83612.265144433,1.769951904,2.426149170,-0.271403418
run_001,duck2,83612.339318520,83612.306177644,1.769932007,2.426105469,-0.270902884
run_001,duck2,83612.372608376,83612.339912041,1.769928223,2.426233887,-0.272063607
run_001,duck2,83612.406020931,83612.373075777,1.770093872,2.426299805,-0.272387244
run_001,duck2,83612.439398599,83612.406379174,1.770265747,2.426027100,-0.270035176
run_001,duck2,83612.472851425,83612.441137306,1.769872070,2.426258057,-0.272304530
run_001,duck2,83612.506241370,83612.474148992,1.769984619,2.426127930,-0.271282768
run_001,duck2,83612.539703952,83612.507139164,1.770106934,2.426164551,-0.271363344
run_001,duck2,83612.573088667,83612.540337246,1.770080933,2.426150391,-0.271492496
run_001,duck2,83612.606480417,83612.573135809,1.770005981,2.426185547,-0.271846315
run_001,duck2,83612.639915137,83612.606204131,1.770045532,2.426204834,-0.271254453
run_001,duck2,83612.673302522,83612.639746435,1.769983765,2.426187256,-0.271679807
run_001,duck2,83612.706855954,83612.681259234,1.769989502,2.426219238,-0.271628390
run_001,duck2,83612.740228787,83612.714765507,1.770046509,2.426149902,-0.271038522
run_001,duck2,83612.773730763,83612.748227351,1.770008179,2.426143799,-0.271549119
run_001,duck2,83612.807149315,83612.782410177,1.770127808,2.426106689,-0.270893859
run_001,duck2,83612.840645449,83612.814819555,1.770075806,2.426111328,-0.271494633
run_001,duck2,83612.874042211,83612.848444389,1.770088745,2.426077148,-0.270791978
run_001,duck2,83612.907456297,83612.881359226,1.770041992,2.426141602,-0.271568806
run_001,duck2,83612.940891741,83612.915035531,1.770106079,2.426093018,-0.271069442
run_001,duck2,83612.974277808,83612.948161144,1.770041260,2.426177490,-0.271562555
run_001,duck2,83613.007698811,83612.982411701,1.770024170,2.426130615,-0.271398972
run_001,duck2,83613.041159935,83613.023008729,1.770087402,2.426090332,-0.270619412
run_001,duck2,83613.074583403,83613.056451093,1.770077393,2.426125732,-0.271605863
run_001,duck2,83613.107967023,83613.09088561,1.770086060,2.426113281,-0.271097117
run_001,duck2,83613.141404855,83613.123084326,1.770082275,2.426091553,-0.271233009
run_001,duck2,83613.174952391,83613.156439798,1.770067993,2.426120605,-0.271262859
run_001,duck2,83613.208280589,83613.189925771,1.770102295,2.426125244,-0.271430118
run_001,duck2,83613.241686807,83613.222973999,1.770061157,2.426102051,-0.271392348
run_001,duck2,83613.275095677,83613.257489897,1.770051880,2.426128906,-0.270989575
run_001,duck2,83613.308526969,83613.290225952,1.770084595,2.426102295,-0.271445761
run_001,duck2,83613.341937675,83613.323242147,1.770050293,2.426125000,-0.271369173
run_001,duck2,83613.375379643,83613.356656756,1.770093506,2.426088623,-0.271011893
run_001,duck2,83613.408806523,83613.390644428,1.770053467,2.426099609,-0.271249630
run_001,duck2,83613.442196081,83613.424015558,1.770084595,2.426151855,-0.271235368
run_001,duck2,83613.475729892,83613.456969406,1.770095703,2.426103271,-0.271010116
run_001,duck2,83613.509162040,83613.492025919,1.770049194,2.426120117,-0.271456011
run_001,duck2,83613.542585883,83613.533098916,1.770064209,2.426091309,-0.271053415
run_001,duck2,83613.576055478,83613.564872852,1.770082397,2.426089844,-0.271168335
run_001,duck2,83613.609432983,83613.59827454,1.770065430,2.426126221,-0.271105168
run_001,duck2,83613.642856864,83613.632022372,1.770100464,2.426100342,-0.270938768
run_001,duck2,83613.676301802,83613.665033452,1.770054565,2.426125244,-0.271124432
run_001,duck2,83613.709750494,83613.698366154,1.770081177,2.426095947,-0.271118927
run_001,duck2,83613.743134189,83613.731502098,1.770043579,2.426156250,-0.271106927
run_001,duck2,83613.776567100,83613.765413174,1.770048950,2.426129395,-0.271205469
run_001,duck2,83613.809953020,83613.799131539,1.770098022,2.426106689,-0.270894415
run_001,duck2,83613.843467483,83613.831497269,1.770054321,2.426119873,-0.271100523
run_001,duck2,83613.876858788,83613.874358601,1.770064453,2.426105225,-0.271231942
run_001,duck2,83613.910311312,83613.907788765,1.770091553,2.426093262,-0.271329880
run_001,duck2,83613.943784272,83613.942145327,1.770069458,2.426093506,-0.271270204
run_001,duck2,83614.010613373,83613.97562487,1.770066772,2.426094727,-0.270899906
run_001,duck2,83614.044060136,83614.0103695,1.770086182,2.426103760,-0.271199363
run_001,duck2,83614.077469657,83614.043217681,1.770060425,2.426127930,-0.271271541
run_001,duck2,83614.110931641,83614.075638516,1.770079224,2.426093506,-0.271078942
run_001,duck2,83614.144309333,83614.110384624,1.770033936,2.426176025,-0.271340927
run_001,duck2,83614.177737357,83614.143017852,1.770056519,2.426127441,-0.271295299
run_001,duck2,83614.211149034,83614.17750076,1.770079834,2.426105713,-0.271182046
run_001,duck2,83614.244562826,83614.208669569,1.770057007,2.426127197,-0.271069490
run_001,duck2,83614.277995001,83614.243689427,1.770092285,2.426119141,-0.271084859
run_001,duck2,83614.311403965,83614.275723118,1.770015137,2.426187744,-0.271605155
run_001,duck2,83614.344824846,83614.318084752,1.770068115,2.426147949,-0.271554349
run_001,duck2,83614.378291905,83614.351710532,1.770075317,2.426110596,-0.271086045
run_001,duck2,83614.411709419,83614.383821908,1.770073120,2.426126953,-0.271135254
run_001,duck2,83614.445153654,83614.419293645,1.770076782,2.426130859,-0.271140165
run_001,duck2,83614.478627962,83614.451861413,1.770067383,2.426129883,-0.271360241
run_001,duck2,83614.512076402,83614.483188861,1.770050781,2.426118652,-0.271339992
run_001,duck2,83614.545552267,83614.518480206,1.770067017,2.426124268,-0.271197329
run_001,duck2,83614.579023809,83614.550324627,1.770073608,2.426130615,-0.271293638
run_001,duck2,83614.612388842,83614.590317421,1.770064941,2.426115723,-0.271150064
run_001,duck2,83614.645894714,83614.616831712,1.770071899,2.426123291,-0.271117103
run_001,duck2,83614.679347064,83614.650272323,1.770056030,2.426120361,-0.271346678
run_001,duck2,83614.712708581,83614.690959503,1.770078247,2.426123291,-0.271234456
run_001,duck2,83614.746193237,83614.724338203,1.770064819,2.426118652,-0.271262311
run_001,duck2,83614.779570032,83614.756299592,1.770080444,2.426113281,-0.271138822
run_001,duck2,83614.813013267,83614.790133508,1.770069946,2.426100098,-0.271047142
run_001,duck2,83614.846437629,83614.823684536,1.770080933,2.426120605,-0.271441595
